ID,Pollen,Week,Origin,Date
Y1L1,8.272,1,Local,6/14/16
Y1L2,27.735,1,Local,6/14/16
Y1L3,23.776,1,Local,6/14/16
Y1L4,18.938,1,Local,6/14/16
Y1L5,2.94,1,Local,6/14/16
Y1L6,9.868,1,Local,6/14/16
Y1L7,33.078,1,Local,6/14/16
Y1L8,51.56,1,Local,6/14/16
Y1L9,31.851,1,Local,6/14/16
Y1L10,19.432,1,Local,6/14/16
Y2L1,31.335,1,Local,6/14/16
Y2L2,18.734,1,Local,6/14/16
Y2L3,NA,1,Local,6/14/16
Y2L4,31.966,1,Local,6/14/16
Y2L5,39.712,1,Local,6/14/16
Y2L6,11.489,1,Local,6/14/16
Y2L7,5.447,1,Local,6/14/16
Y2L8,22.261,1,Local,6/14/16
Y2L9,19.133,1,Local,6/14/16
Y2L10,15.623,1,Local,6/14/16
Y1C1,56.569,1,California,6/14/16
Y1C2,21.779,1,California,6/14/16
Y1C3,1.29,1,California,6/14/16
Y1C4,22.528,1,California,6/14/16
Y1C5,7.472,1,California,6/14/16
Y1C6,11.637,1,California,6/14/16
Y1C7,38.703,1,California,6/14/16
Y1C8,7.007,1,California,6/14/16
Y1C9,16.801,1,California,6/14/16
Y1C10,12.014,1,California,6/14/16
Y2C1,3.127,1,California,6/14/16
Y2C2,32.213,1,California,6/14/16
Y2C3,13.309,1,California,6/14/16
Y2C4,13.878,1,California,6/14/16
Y2C5,NA,1,California,6/14/16
Y2C6,83.258,1,California,6/14/16
Y2C7,37.607,1,California,6/14/16
Y2C8,29.584,1,California,6/14/16
Y2C9,8.12,1,California,6/14/16
Y2C10,8.041,1,California,6/14/16
Y1C1,2.716,2,California,6/21/16
Y1C2,2.595,2,California,6/21/16
Y1C3,NA,2,California,6/21/16
Y1C4,NA,2,California,6/21/16
Y1C5,0.335,2,California,6/21/16
Y1C6,0.143,2,California,6/21/16
Y1C7,0.095,2,California,6/21/16
Y1C8,0.132,2,California,6/21/16
Y1C9,1.587,2,California,6/21/16
Y1C10,NA,2,California,6/21/16
Y2C1,0.074,2,California,6/21/16
Y2C2,NA,2,California,6/21/16
Y2C3,1.508,2,California,6/21/16
Y2C4,0.424,2,California,6/21/16
Y2C5,NA,2,California,6/21/16
Y2C6,0.961,2,California,6/21/16
Y2C7,NA,2,California,6/21/16
Y2C8,0.18,2,California,6/21/16
Y2C9,NA,2,California,6/21/16
Y2C10,5.943,2,California,6/21/16
Y1L1,1.006,2,Local,6/21/16
Y1L2,0.358,2,Local,6/21/16
Y1L3,4.854,2,Local,6/21/16
Y1L4,0.197,2,Local,6/21/16
Y1L5,0.52,2,Local,6/21/16
Y1L6,0.365,2,Local,6/21/16
Y1L7,1.023,2,Local,6/21/16
Y1L8,0.531,2,Local,6/21/16
Y1L9,0.588,2,Local,6/21/16
Y1L10,NA,2,Local,6/21/16
Y2L1,1.36,2,Local,6/21/16
Y2L2,1.393,2,Local,6/21/16
Y2L3,0.46,2,Local,6/21/16
Y2L4,3.945,2,Local,6/21/16
Y2L5,0.854,2,Local,6/21/16
Y2L6,2.017,2,Local,6/21/16
Y2L7,0.459,2,Local,6/21/16
Y2L8,2.547,2,Local,6/21/16
Y2L9,1.047,2,Local,6/21/16
Y2L10,3.595,2,Local,6/21/16
Y1L1,0,3,Local,6/29/16
Y1L2,NA,3,Local,6/29/16
Y1L3,3.113,3,Local,6/29/16
Y1L4,NA,3,Local,6/29/16
Y1L5,NA,3,Local,6/29/16
Y1L6,2.582,3,Local,6/29/16
Y1L7,17.257,3,Local,6/29/16
Y1L8,0.571,3,Local,6/29/16
Y1L9,0.307,3,Local,6/29/16
Y1L10,NA,3,Local,6/29/16
Y2L1,4.813,3,Local,6/29/16
Y2L2,1.71,3,Local,6/29/16
Y2L3,0.599,3,Local,6/29/16
Y2L4,2.262,3,Local,6/29/16
Y2L5,0.207,3,Local,6/29/16
Y2L6,0.208,3,Local,6/29/16
Y2L7,1.857,3,Local,6/29/16
Y2L8,2.432,3,Local,6/29/16
Y2L9,3.369,3,Local,6/29/16
Y2L10,2.478,3,Local,6/29/16
Y1C1,1.547,3,California,6/29/16
Y1C2,2.241,3,California,6/29/16
Y1C3,0.031,3,California,6/29/16
Y1C4,6.476,3,California,6/29/16
Y1C5,NA,3,California,6/29/16
Y1C6,NA,3,California,6/29/16
Y1C7,NA,3,California,6/29/16
Y1C8,0.185,3,California,6/29/16
Y1C9,0.805,3,California,6/29/16
Y1C10,0.729,3,California,6/29/16
Y2C1,1.5,3,California,6/29/16
Y2C2,NA,3,California,6/29/16
Y2C3,0.988,3,California,6/29/16
Y2C4,2.98,3,California,6/29/16
Y2C5,NA,3,California,6/29/16
Y2C6,0.224,3,California,6/29/16
Y2C7,0.479,3,California,6/29/16
Y2C8,0.087,3,California,6/29/16
Y2C9,0,3,California,6/29/16
Y2C10,1.263,3,California,6/29/16
Y1L1,9.963,4,Local,7/8/16
Y1L2,0.714,4,Local,7/8/16
Y1L3,19.004,4,Local,7/8/16
Y1L4,2.71,4,Local,7/8/16
Y1L5,4.903,4,Local,7/8/16
Y1L6,12.661,4,Local,7/8/16
Y1L7,24.336,4,Local,7/8/16
Y1L8,2.975,4,Local,7/8/16
Y1L9,8.01,4,Local,7/8/16
Y1L10,NA,4,Local,7/8/16
