ID,Virus,Time,Band_Intensity,Origin,VirusDate,VirusDay
Y1L1,DWV,T1,5.55,Local,5/15/16,12
Y1L2,DWV,T1,6.22,Local,5/15/16,12
Y1L3,DWV,T1,0.52,Local,5/15/16,12
Y1L4,DWV,T1,1.14,Local,5/15/16,12
Y1L5,DWV,T1,1.84,Local,5/15/16,12
Y1L6,DWV,T1,0,Local,5/15/16,12
Y1L7,DWV,T1,1.37,Local,5/15/16,12
Y1L8,DWV,T1,0.44,Local,5/15/16,12
Y1L9,DWV,T1,0.17,Local,5/15/16,12
Y1L10,DWV,T1,1.18,Local,5/15/16,12
Y2L1,DWV,T1,0.53,Local,5/15/16,12
Y2L2,DWV,T1,0.18,Local,5/15/16,12
Y2L3,DWV,T1,3.47,Local,5/15/16,12
Y2L4,DWV,T1,1.57,Local,5/15/16,12
Y2L5,DWV,T1,0.29,Local,5/15/16,12
Y2L6,DWV,T1,1.46,Local,5/15/16,12
Y2L7,DWV,T1,0.49,Local,5/15/16,12
Y2L8,DWV,T1,2.6,Local,5/15/16,12
Y2L9,DWV,T1,0.81,Local,5/15/16,12
Y2L10,DWV,T1,8.77,Local,5/15/16,12
Y1C1,DWV,T1,0.04,California,5/15/16,12
Y1C2,DWV,T1,0.06,California,5/15/16,12
Y1C3,DWV,T1,NA,California,5/15/16,12
Y1C4,DWV,T1,0.18,California,5/15/16,12
Y1C5,DWV,T1,0.82,California,5/15/16,12
Y1C6,DWV,T1,0.44,California,5/15/16,12
Y1C7,DWV,T1,0.44,California,5/15/16,12
Y1C8,DWV,T1,2.22,California,5/15/16,12
Y1C9,DWV,T1,1.18,California,5/15/16,12
Y1C10,DWV,T1,0.26,California,5/15/16,12
Y2C1,DWV,T1,5.32,California,5/15/16,12
Y2C2,DWV,T1,2.25,California,5/15/16,12
Y2C3,DWV,T1,1.9,California,5/15/16,12
Y2C4,DWV,T1,1.91,California,5/15/16,12
Y2C6,DWV,T1,1.47,California,5/15/16,12
Y2C7,DWV,T1,0.6,California,5/15/16,12
Y2C8,DWV,T1,0.67,California,5/15/16,12
Y2C9,DWV,T1,0.39,California,5/15/16,12
Y2C10,DWV,T1,0.55,California,5/15/16,12
Y1L1,BQCV,T1,0.41,Local,5/15/16,12
Y1L2,BQCV,T1,0.47,Local,5/15/16,12
Y1L3,BQCV,T1,0.34,Local,5/15/16,12
Y1L4,BQCV,T1,0.39,Local,5/15/16,12
Y1L5,BQCV,T1,0.35,Local,5/15/16,12
Y1L6,BQCV,T1,0.28,Local,5/15/16,12
Y1L7,BQCV,T1,0.26,Local,5/15/16,12
Y1L8,BQCV,T1,0.05,Local,5/15/16,12
Y1L9,BQCV,T1,0.35,Local,5/15/16,12
Y1L10,BQCV,T1,0.06,Local,5/15/16,12
Y2L1,BQCV,T1,0.96,Local,5/15/16,12
Y2L2,BQCV,T1,0.47,Local,5/15/16,12
Y2L3,BQCV,T1,0.93,Local,5/15/16,12
