# Experiment File Name : 20170808_Burnham_LoCal_Run6.eds
# Created By :alexburn17@gmail.com
# Last Modified Date : 2017-09-19 12:14:13 PM
# Instrument Type : StepOnePlus System

"Experiment Name","Barcode","Well","Target Name","Sample Name","Rn","dRn","Omit","Cycle Number","Passive Ref",
"20170808_Burnham_LoCal_Run6.eds","","A1","DWV","57","0.093","0.008","false","1.0","52578.332",
"20170808_Burnham_LoCal_Run6.eds","","A1","DWV","57","0.091","0.008","false","2.0","52429.44",
"20170808_Burnham_LoCal_Run6.eds","","A1","DWV","57","0.085","0.003","false","3.0","51799.145",
"20170808_Burnham_LoCal_Run6.eds","","A1","DWV","57","0.083","0.002","false","4.0","51700.477",
"20170808_Burnham_LoCal_Run6.eds","","A1","DWV","57","0.08","0.0","false","5.0","51457.51",
"20170808_Burnham_LoCal_Run6.eds","","A1","DWV","57","0.079","0.0","false","6.0","51407.223",
"20170808_Burnham_LoCal_Run6.eds","","A1","DWV","57","0.076","-0.001","false","7.0","51382.15",
"20170808_Burnham_LoCal_Run6.eds","","A1","DWV","57","0.076","0.0","false","8.0","51284.168",
"20170808_Burnham_LoCal_Run6.eds","","A1","DWV","57","0.074","0.0","false","9.0","51336.375",
"20170808_Burnham_LoCal_Run6.eds","","A1","DWV","57","0.072","-0.001","false","10.0","51184.41",
"20170808_Burnham_LoCal_Run6.eds","","A1","DWV","57","0.071","-0.001","false","11.0","51277.39",
"20170808_Burnham_LoCal_Run6.eds","","A1","DWV","57","0.069","-0.001","false","12.0","51314.51",
"20170808_Burnham_LoCal_Run6.eds","","A1","DWV","57","0.068","-0.001","false","13.0","51495.15",
"20170808_Burnham_LoCal_Run6.eds","","A1","DWV","57","0.067","0.0","false","14.0","51364.203",
"20170808_Burnham_LoCal_Run6.eds","","A1","DWV","57","0.065","-0.001","false","15.0","51311.18",
"20170808_Burnham_LoCal_Run6.eds","","A1","DWV","57","0.065","0.0","false","16.0","51303.848",
"20170808_Burnham_LoCal_Run6.eds","","A1","DWV","57","0.063","-0.001","false","17.0","51179.625",
"20170808_Burnham_LoCal_Run6.eds","","A1","DWV","57","0.061","-0.001","false","18.0","51301.414",
"20170808_Burnham_LoCal_Run6.eds","","A1","DWV","57","0.06","-0.001","false","19.0","51230.785",
"20170808_Burnham_LoCal_Run6.eds","","A1","DWV","57","0.058","-0.001","false","20.0","51043.094",
"20170808_Burnham_LoCal_Run6.eds","","A1","DWV","57","0.058","-0.001","false","21.0","51126.867",
"20170808_Burnham_LoCal_Run6.eds","","A1","DWV","57","0.056","-0.001","false","22.0","51127.9",
"20170808_Burnham_LoCal_Run6.eds","","A1","DWV","57","0.055","0.0","false","23.0","51012.383",
"20170808_Burnham_LoCal_Run6.eds","","A1","DWV","57","0.055","0.001","false","24.0","50997.008",
"20170808_Burnham_LoCal_Run6.eds","","A1","DWV","57","0.054","0.002","false","25.0","51077.06",
"20170808_Burnham_LoCal_Run6.eds","","A1","DWV","57","0.055","0.004","false","26.0","51160.625",
"20170808_Burnham_LoCal_Run6.eds","","A1","DWV","57","0.058","0.008","false","27.0","51065.58",
"20170808_Burnham_LoCal_Run6.eds","","A1","DWV","57","0.064","0.015","false","28.0","50919.28",
"20170808_Burnham_LoCal_Run6.eds","","A1","DWV","57","0.077","0.03","false","29.0","50975.26",
"20170808_Burnham_LoCal_Run6.eds","","A1","DWV","57","0.104","0.058","false","30.0","50914.19",
"20170808_Burnham_LoCal_Run6.eds","","A1","DWV","57","0.155","0.11","false","31.0","50862.457",
"20170808_Burnham_LoCal_Run6.eds","","A1","DWV","57","0.25","0.207","false","32.0","50939.008",
"20170808_Burnham_LoCal_Run6.eds","","A1","DWV","57","0.419","0.377","false","33.0","50895.84",
"20170808_Burnham_LoCal_Run6.eds","","A1","DWV","57","0.659","0.618","false","34.0","50674.266",
"20170808_Burnham_LoCal_Run6.eds","","A1","DWV","57","0.904","0.865","false","35.0","50424.215",
"20170808_Burnham_LoCal_Run6.eds","","A1","DWV","57","1.102","1.064","false","36.0","50371.492",
"20170808_Burnham_LoCal_Run6.eds","","A1","DWV","57","1.284","1.248","false","37.0","50217.918",
"20170808_Burnham_LoCal_Run6.eds","","A1","DWV","57","1.457","1.422","false","38.0","50039.43",
"20170808_Burnham_LoCal_Run6.eds","","A1","DWV","57","1.607","1.573","false","39.0","50057.53",
"20170808_Burnham_LoCal_Run6.eds","","A1","DWV","57","1.73","1.697","false","40.0","49916.95",
"20170808_Burnham_LoCal_Run6.eds","","A2","DWV","58","0.065","0.016","false","1.0","56743.188",
"20170808_Burnham_LoCal_Run6.eds","","A2","DWV","58","0.058","0.012","false","2.0","56045.387",
"20170808_Burnham_LoCal_Run6.eds","","A2","DWV","58","0.051","0.006","false","3.0","54953.793",
"20170808_Burnham_LoCal_Run6.eds","","A2","DWV","58","0.047","0.004","false","4.0","54751.645",
"20170808_Burnham_LoCal_Run6.eds","","A2","DWV","58","0.044","0.002","false","5.0","54492.61",
"20170808_Burnham_LoCal_Run6.eds","","A2","DWV","58","0.042","0.001","false","6.0","54374.566",
"20170808_Burnham_LoCal_Run6.eds","","A2","DWV","58","0.039","0.0","false","7.0","54155.316",
"20170808_Burnham_LoCal_Run6.eds","","A2","DWV","58","0.037","-0.001","false","8.0","54008.887",
"20170808_Burnham_LoCal_Run6.eds","","A2","DWV","58","0.034","-0.001","false","9.0","53906.43",
"20170808_Burnham_LoCal_Run6.eds","","A2","DWV","58","0.032","-0.002","false","10.0","53843.977",
"20170808_Burnham_LoCal_Run6.eds","","A2","DWV","58","0.03","-0.002","false","11.0","53811.53",
"20170808_Burnham_LoCal_Run6.eds","","A2","DWV","58","0.029","-0.002","false","12.0","53886.652",
