# Experiment File Name : 20170814_Burnham_LoCal_Run10.eds
# Created By :alexburn17@gmail.com
# Last Modified Date : 2017-09-19 12:14:13 PM
# Instrument Type : StepOnePlus System

"Well","Sample Name","Target Name","Amp Score","Amp Status","Task","Cq","Cq Mean","Cq Standard Deviation","Quantity","Quantity Mean","Quantity Standard Deviation","Intercept","R-Squared","Slope","Efficiency","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Omit",
"A1","79","IAPV","1.415","Amp","UNKNOWN","33.649","34.635","1.396","7.388","4.732","3.756","36.7574","0.9983","-3.5795","90.26926","true","0.086","true","3.0","29.0","false",
"A2","40","IAPV","1.413","Amp","UNKNOWN","31.950","31.239","0.62","22.037","36.544","12.753","36.7574","0.9983","-3.5795","90.26926","true","0.086","true","3.0","28.0","false",
"A3","45","IAPV","1.373","Amp","UNKNOWN","34.330","34.328","0.389","4.765","4.873","1.212","36.7574","0.9983","-3.5795","90.26926","true","0.086","true","3.0","30.0","false",
"A12","No Sample","IAPV","0.0","No Amp","NTC","Undetermined","-","-","-","-","-","36.7574","0.9983","-3.5795","90.26926","true","0.086","true","3.0","39.0","true",
"B1","79","IAPV","1.277","Inconclusive","UNKNOWN","35.622","34.635","1.396","2.076","4.732","3.756","36.7574","0.9983","-3.5795","90.26926","true","0.086","true","3.0","31.0","false",
"B2","40","IAPV","1.426","Amp","UNKNOWN","30.962","31.239","0.62","41.609","36.544","12.753","36.7574","0.9983","-3.5795","90.26926","true","0.086","true","3.0","27.0","false",
"B3","45","IAPV","1.357","Amp","UNKNOWN","34.716","34.328","0.389","3.718","4.873","1.212","36.7574","0.9983","-3.5795","90.26926","true","0.086","true","3.0","30.0","false",
"B12","G-Block","IAPV","1.442","Amp","UNKNOWN","16.630","16.63","-","419660.66","419660.66","-","36.7574","0.9983","-3.5795","90.26926","true","0.086","true","3.0","12.0","false",
"C1","79","IAPV","0.0","No Amp","UNKNOWN","Undetermined","-","-","0.0","-","-","36.7574","0.9983","-3.5795","90.26926","true","0.086","true","3.0","39.0","true",
"C2","40","IAPV","1.416","Amp","UNKNOWN","30.806","31.239","0.62","45.986","36.544","12.753","36.7574","0.9983","-3.5795","90.26926","true","0.086","true","3.0","26.0","false",
"C3","45","IAPV","1.417","Amp","UNKNOWN","33.937","34.328","0.389","6.135","4.873","1.212","36.7574","0.9983","-3.5795","90.26926","true","0.086","true","3.0","29.0","false",
"D4","60","BQCV","1.331","Amp","UNKNOWN","13.516","13.568","0.056","1532023.4","1481218.5","55531.215","34.8074","0.9981","-3.4422","95.21442","true","0.142","true","3.0","9.0","false",
"D12","No Sample","BQCV","0.0","No Amp","NTC","Undetermined","-","-","-","-","-","34.8074","0.9981","-3.4422","95.21442","true","0.142","true","3.0","39.0","true",
"E4","60","BQCV","1.329","Amp","UNKNOWN","13.558","13.568","0.056","1489696.2","1481218.5","55531.215","34.8074","0.9981","-3.4422","95.21442","true","0.142","true","3.0","9.0","false",
"E12","G-Block","BQCV","1.356","Amp","UNKNOWN","17.156","17.156","-","134240.39","134240.39","-","34.8074","0.9981","-3.4422","95.21442","true","0.142","true","3.0","12.0","false",
"F4","60","BQCV","1.334","Amp","UNKNOWN","13.628","13.568","0.056","1421935.9","1481218.5","55531.215","34.8074","0.9981","-3.4422","95.21442","true","0.142","true","3.0","9.0","false",
"G1","79","ACTIN","1.438","Amp","UNKNOWN","19.144","19.231","0.123","72669.32","68826.055","5435.201","36.5667","0.9988","-3.584","90.11565","true","0.237","true","3.0","13.0","false",
"G2","40","ACTIN","1.44","Amp","UNKNOWN","18.780","18.721","0.084","91789.586","95407.03","5115.838","36.5667","0.9988","-3.584","90.11565","true","0.237","true","3.0","13.0","false",
"G3","45","ACTIN","0.0","No Amp","UNKNOWN","Undetermined","-","-","0.0","-","-","36.5667","0.9988","-3.584","90.11565","true","0.237","true","3.0","39.0","true",
"G4","60","ACTIN","1.442","Amp","UNKNOWN","17.359","17.44","0.114","228730.16","217454.28","15946.503","36.5667","0.9988","-3.584","90.11565","true","0.237","true","3.0","12.0","false",
"G5","44","ACTIN","0.0","No Amp","UNKNOWN","Undetermined","-","-","0.0","-","-","36.5667","0.9988","-3.584","90.11565","true","0.237","true","3.0","39.0","true",
"G12","No Sample","ACTIN","0.0","No Amp","NTC","Undetermined","-","-","-","-","-","36.5667","0.9988","-3.584","90.11565","true","0.237","true","3.0","39.0","true",
"H1","79","ACTIN","1.437","Amp","UNKNOWN","19.318","19.231","0.123","64982.79","68826.055","5435.201","36.5667","0.9988","-3.584","90.11565","true","0.237","true","3.0","13.0","false",
"H2","40","ACTIN","1.446","Amp","UNKNOWN","18.662","18.721","0.084","99024.48","95407.03","5115.838","36.5667","0.9988","-3.584","90.11565","true","0.237","true","3.0","13.0","false",
"H3","45","ACTIN","1.454","Amp","UNKNOWN","17.987","17.987","-","152740.36","152740.36","-","36.5667","0.9988","-3.584","90.11565","true","0.237","true","3.0","12.0","false",
"H4","60","ACTIN","1.447","Amp","UNKNOWN","17.520","17.44","0.114","206178.4","217454.28","15946.503","36.5667","0.9988","-3.584","90.11565","true","0.237","true","3.0","12.0","false",
"H5","44","ACTIN","0.0","No Amp","UNKNOWN","Undetermined","-","-","0.0","-","-","36.5667","0.9988","-3.584","90.11565","true","0.237","true","3.0","39.0","true",
"H12","G-Block","ACTIN","1.463","Amp","UNKNOWN","17.850","17.85","-","166802.25","166802.25","-","36.5667","0.9988","-3.584","90.11565","true","0.237","true","3.0","12.0","false",

