Sample ID	User ID	Date 	Time 	ng/ul 	A260 	A280 	260/280 	260/230 	Constant 	Cursor Pos.	Cursor abs.	340 raw
24	Default	6/20/2017	1:07 PM	489.42	12.236	5.772	2.12	1.93	40.00	230	6.342	0.068
2	Default	6/20/2017	1:07 PM	244.84	6.121	2.932	2.09	0.39	40.00	230	15.754	0.052
65	Default	6/20/2017	1:08 PM	240.14	6.003	2.852	2.10	0.53	40.00	230	11.422	0.067
85	Default	6/20/2017	1:09 PM	529.25	13.231	6.337	2.09	0.42	40.00	230	31.185	0.139
27	Default	6/20/2017	1:09 PM	643.76	16.094	7.598	2.12	1.56	40.00	230	10.311	0.115
81	Default	6/20/2017	1:10 PM	674.16	16.854	7.983	2.11	1.76	40.00	230	9.582	0.138
6	Default	6/20/2017	1:10 PM	633.86	15.847	7.391	2.14	2.05	40.00	230	7.739	0.148
73	Default	6/20/2017	1:11 PM	321.23	8.031	3.823	2.10	0.76	40.00	230	10.534	0.007
55	Default	6/20/2017	1:11 PM	375.87	9.397	4.524	2.08	0.75	40.00	230	12.599	0.105
62	Default	6/20/2017	1:12 PM	109.76	2.744	1.379	1.99	0.39	40.00	230	6.957	0.092
28	Default	6/20/2017	1:12 PM	390.03	9.751	4.654	2.10	1.20	40.00	230	8.141	0.051
21	Default	6/20/2017	1:13 PM	430.72	10.768	5.169	2.08	1.92	40.00	230	5.621	0.016
44	Default	6/20/2017	1:18 PM	471.60	11.790	5.676	2.08	1.20	40.00	230	9.788	0.021
84	Default	6/20/2017	1:19 PM	366.49	9.162	4.395	2.08	1.30	40.00	230	7.058	0.048
50	Default	6/20/2017	1:19 PM	270.32	6.758	3.160	2.14	1.71	40.00	230	3.944	0.026
20	Default	6/20/2017	1:20 PM	317.76	7.944	3.757	2.11	1.24	40.00	230	6.428	0.043
51	Default	6/20/2017	1:20 PM	371.33	9.283	4.435	2.09	1.28	40.00	230	7.253	0.034
16	Default	6/20/2017	1:21 PM	288.05	7.201	3.383	2.13	0.48	40.00	230	15.020	0.040
32	Default	6/20/2017	1:21 PM	389.54	9.739	4.654	2.09	1.29	40.00	230	7.570	0.064
28	Default	6/20/2017	1:21 PM	373.53	9.338	4.471	2.09	1.17	40.00	230	7.964	0.043
38	Default	6/20/2017	1:22 PM	427.20	10.680	5.190	2.06	2.20	40.00	230	4.845	0.032
68	Default	6/20/2017	1:22 PM	131.22	3.280	1.628	2.02	0.35	40.00	230	9.357	0.043
53	Default	6/20/2017	1:22 PM	458.64	11.466	5.552	2.07	2.17	40.00	230	5.292	0.013
44	Default	6/20/2017	1:23 PM	194.04	4.851	2.325	2.09	0.58	40.00	230	8.341	0.029
60	Default	6/20/2017	1:23 PM	244.30	6.107	2.911	2.10	0.81	40.00	230	7.565	0.071
57	Default	6/20/2017	1:23 PM	258.87	6.472	3.156	2.05	0.48	40.00	230	13.441	0.269
19	Default	6/20/2017	1:24 PM	553.38	13.835	6.527	2.12	1.81	40.00	230	7.649	0.251
11	Default	6/20/2017	1:24 PM	218.25	5.456	2.563	2.13	0.78	40.00	230	7.017	0.052
63	Default	6/20/2017	1:25 PM	223.85	5.596	2.605	2.15	1.26	40.00	230	4.437	0.007
9	Default	6/20/2017	1:25 PM	159.53	3.988	1.891	2.11	0.54	40.00	230	7.325	0.063
83	Default	6/20/2017	1:25 PM	348.99	8.725	4.326	2.02	0.58	40.00	230	14.970	0.224
70	Default	6/20/2017	1:26 PM	455.53	11.388	5.704	2.00	0.76	40.00	230	14.981	0.075
54	Default	6/20/2017	1:26 PM	455.27	11.382	5.487	2.07	1.42	40.00	230	7.996	0.087
42	Default	6/20/2017	1:26 PM	446.57	11.164	5.346	2.09	1.15	40.00	230	9.666	0.042
72	Default	6/20/2017	1:27 PM	353.32	8.833	4.272	2.07	0.86	40.00	230	10.324	0.053
52	Default	6/20/2017	1:27 PM	287.23	7.181	3.376	2.13	0.54	40.00	230	13.244	0.013
33	Default	6/20/2017	1:28 PM	402.53	10.063	4.749	2.12	0.96	40.00	230	10.443	0.029
47	Default	6/20/2017	1:28 PM	319.02	7.976	3.846	2.07	0.50	40.00	230	15.835	0.095
39	Default	6/20/2017	1:28 PM	628.20	15.705	7.326	2.14	1.59	40.00	230	9.907	0.241
26	Default	6/20/2017	1:29 PM	542.69	13.567	6.410	2.12	0.89	40.00	230	15.237	0.150
49	Default	6/20/2017	1:29 PM	530.71	13.268	6.174	2.15	1.76	40.00	230	7.530	0.150
58	Default	6/20/2017	1:29 PM	247.55	6.189	3.139	1.97	0.40	40.00	230	15.509	0.430
35	Default	6/20/2017	1:30 PM	452.58	11.315	5.387	2.10	0.90	40.00	230	12.619	0.105
76	Default	6/20/2017	1:30 PM	500.11	12.503	5.980	2.09	1.89	40.00	230	6.626	0.073
56	Default	6/20/2017	1:31 PM	202.31	5.058	2.409	2.10	1.56	40.00	230	3.241	0.002
79	Default	6/20/2017	1:31 PM	215.00	5.375	2.549	2.11	0.78	40.00	230	6.859	0.013
22	Default	6/20/2017	1:31 PM	524.33	13.108	6.251	2.10	1.72	40.00	230	7.638	0.083
80	Default	6/20/2017	1:32 PM	168.95	4.224	2.014	2.10	0.28	40.00	230	14.886	0.040
1	Default	6/20/2017	1:32 PM	244.48	6.112	2.915	2.10	0.56	40.00	230	10.980	0.014
4	Default	6/20/2017	1:32 PM	269.88	6.747	3.186	2.12	1.24	40.00	230	5.456	0.080
3	Default	6/20/2017	1:33 PM	298.43	7.461	3.498	2.13	1.12	40.00	230	6.664	0.103
61	Default	6/20/2017	1:33 PM	248.60	6.215	2.935	2.12	0.67	40.00	230	9.223	0.031
46	Default	6/20/2017	1:34 PM	593.53	14.838	6.877	2.16	0.91	40.00	230	16.391	0.109
29	Default	6/20/2017	1:34 PM	209.32	5.233	2.614	2.00	0.48	40.00	230	10.892	0.099
74	Default	6/20/2017	1:35 PM	168.14	4.203	2.006	2.10	0.78	40.00	230	5.392	0.003
64	Default	6/20/2017	1:35 PM	182.56	4.564	2.209	2.07	0.41	40.00	230	11.176	0.064
34	Default	6/20/2017	1:35 PM	395.90	9.898	4.731	2.09	1.09	40.00	230	9.094	0.048
14	Default	6/20/2017	1:36 PM	134.22	3.356	1.579	2.13	0.74	40.00	230	4.537	0.020
37	Default	6/20/2017	1:36 PM	601.31	15.033	7.107	2.12	1.41	40.00	230	10.680	0.148
18	Default	6/20/2017	1:36 PM	425.19	10.630	5.144	2.07	1.45	40.00	230	7.352	0.050
86	Default	6/20/2017	1:37 PM	399.83	9.996	4.754	2.10	1.27	40.00	230	7.875	0.042
71	Default	6/20/2017	1:37 PM	356.32	8.908	4.355	2.05	0.66	40.00	230	13.583	0.087
66	Default	6/20/2017	1:37 PM	172.60	4.315	2.038	2.12	0.66	40.00	230	6.539	0.021
45	Default	6/20/2017	1:38 PM	386.69	9.667	4.579	2.11	1.17	40.00	230	8.234	0.034
12	Default	6/20/2017	1:38 PM	247.08	6.177	3.056	2.02	0.44	40.00	230	14.143	0.122
67	Default	6/20/2017	1:39 PM	146.58	3.664	1.792	2.05	0.47	40.00	230	7.781	0.051
59	Default	6/20/2017	1:39 PM	275.08	6.877	3.449	1.99	0.56	40.00	230	12.247	0.111
48	Default	6/20/2017	1:39 PM	287.15	7.179	3.380	2.12	0.47	40.00	230	15.274	0.051
78	Default	6/20/2017	1:40 PM	513.11	12.828	6.097	2.10	1.18	40.00	230	10.885	0.134
31	Default	6/20/2017	1:40 PM	458.12	11.453	5.473	2.09	1.36	40.00	230	8.414	0.085
77	Default	6/20/2017	1:40 PM	601.31	15.033	7.120	2.11	1.86	40.00	230	8.102	0.098
17	Default	6/20/2017	1:41 PM	653.01	16.325	7.766	2.10	1.62	40.00	230	10.076	0.148
5	Default	6/20/2017	1:41 PM	849.94	21.248	10.052	2.11	1.88	40.00	230	11.279	0.182
36	Default	6/20/2017	1:41 PM	339.53	8.488	4.043	2.10	0.59	40.00	230	14.299	0.023
25	Default	6/20/2017	1:42 PM	660.27	16.507	7.761	2.13	1.75	40.00	230	9.413	0.181
23	Default	6/20/2017	1:42 PM	457.61	11.440	5.447	2.10	0.85	40.00	230	13.454	0.029
30	Default	6/20/2017	1:42 PM	508.29	12.707	6.073	2.09	1.06	40.00	230	11.980	0.172
8	Default	6/20/2017	1:43 PM	195.36	4.884	2.254	2.17	0.60	40.00	230	8.145	0.002
43	Default	6/20/2017	1:43 PM	305.08	7.627	3.583	2.13	0.99	40.00	230	7.703	0.037
10	Default	6/20/2017	1:43 PM	217.18	5.430	2.561	2.12	0.91	40.00	230	5.938	0.056
40	Default	6/20/2017	1:44 PM	350.70	8.767	4.112	2.13	0.90	40.00	230	9.694	0.024
69	Default	6/20/2017	1:44 PM	402.30	10.058	4.873	2.06	0.64	40.00	230	15.790	0.142
7	Default	6/20/2017	1:44 PM	99.73	2.493	1.157	2.15	0.36	40.00	230	6.985	0.036
75	Default	6/20/2017	1:45 PM	291.24	7.281	3.440	2.12	1.32	40.00	230	5.521	0.011
82	Default	6/20/2017	1:45 PM	344.61	8.615	4.079	2.11	0.83	40.00	230	10.403	0.009
13	Default	6/20/2017	1:45 PM	369.16	9.229	4.345	2.12	0.70	40.00	230	13.230	0.018
2.2	Default	6/20/2017	1:46 PM	245.22	6.131	2.905	2.11	0.40	40.00	230	15.230	0.098
